Name,Property,Amplitude Dashboard,Amplitude Dashboard (1),Analysis Date,Bayes Outcome Report,Config Code,Don't Reshuffle 5%,Early Stopping Criteria,Exp Off: date/build,Experiment Type,Final Step,Hypothesis,Hypothesis Correct?,NHST Outcome Report,Overlappers,Owner,Platform,Power Analysis,Related to New Users Work (Property),Related to Onboarders Work (Experiment Card),Related to Trial2020 (Property),Run Dates,Screenshots,Stage,Stakeholders,Test Dates,Treatment Description,Version Number,uuid
iOS In-app trial offer,No,https://analytics.amplitude.com/loseit/dashboard/nhl5tji,NA,"April 2, 2021",Experiment%201f19a/ios-inapp-trial-offer-bayes.pdf,"iOSInAppTrial(7374.km3l8pg0)-trial
iOSInAppTrial(7374.km3l8pg0)-_default",Yes,NA,4/2/21,"IAM, New User, Trial","What is the immediate action being taken when you move the card to ""Complete""?",What do you expect to happen?,No,Experiment%201f19a/ios-inapp-trial-offer.pdf,https://www.notion.so/iOS-Strong-Start-Badge-Log-Card-eef14943b31b4dc49f05b4c631e283a3,"Phil Weltman, Katie Bourdon",Android,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3%	5.67
5%	2.04
7%	1.04
10%	0.51",NA,NA,NA,"March 9, 2021 → March 22, 2021",Experiment%201f19a/Screen_Recording_2021-02-19_at_2.20.09_PM.mov,Complete 2021,Rohil Javeri,"March 3, 2021 → March 7, 2021","The treatment group will see an in-app 7-day trial promotion rather than the current 50% sale promotion. The countdown timer will reflect the promotion that is shown. See below for screenshots. 

Simultaneously, we're testing the 3x sale promotion vs. the current water tracking promotion.",13.1.600,fa54148c-3036-4f42-bae0-25e09bac104f
iOS Confetti Cannon,Yes,https://analytics.amplitude.com/loseit/dashboard/fpk2yza,NA,"April 9, 2021",Experiment%201f19a/ios_confetti_canon_bayes.pdf,"iOSMandFun(7372.km0oz31k)-cannon
iOSMandFun(7372.km0oz31k)-_default",No,"15% decrease in MDC; 5% decrease in app sessions, 5% decrease in purchasing",4/13,UI Changes,"Rills turned this off on 4/13. He made it so confetti shows on certain milestones only — when a streak is 1, 7, 50, 100, or any multiple of 365","Treatment will mark day complete a bit more, might impact retention for new users. Certainly no negative outcomes;",No,Experiment%201f19a/ios_confetti_canon.pdf,NA,Sarah Molhan,iOS,"Smallest Detectable Change in Gross Bookings per Person	Sample Size PER COHORT
1%	6439282
2%	1609821
3%	715477
4%	402456
5%	257572
6%	178870
7%	131415
8%	100615
9%	79498
10%	64394",NA,NA,NA,"March 8, 2021 → March 31, 2021",Experiment%201f19a/IMG_0DE9D32DC471-1.jpeg,Complete 2021,"Robert Mohr, Seung Kim","March 3, 2021 → March 7, 2021","Treatment: Confetti Cannon fires every time user marks day complete

Control: No confetti. Tears likely.",13.1.600,7edb1f82-b556-409e-91c4-5df9939879c7
iOS Tutorial Copy Update,Yes,https://analytics.amplitude.com/loseit/dashboard/hik56ab,NA,"March 30, 2021",Experiment%201f19a/ios-tutorial-copy-update-bayes.pdf,"iOSNewTutCopy(7372.km0oyuk0)-newCopy
iOSNewTutCopy(7372.km0oyuk0)-_default",No,First food logged rate decreases by 20%; sale take rate decreases by 20%,Off 3/31,New User,Reverting to control.,The new tutorial will improve day 2 retention. Neutral or positive impact on bookings,No,Experiment%201f19a/ios-tutorial-copy-update.pdf,https://www.notion.so/iOS-In-app-trial-offer-181ed6f705234b309ccc539d6051d1f7,Sarah Molhan,iOS,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3%	5.67
5%	2.04
7%	1.04
10%	0.51",https://www.notion.so/Tutorial-Copy-Test-59263148b74140b79f432156fd8e9001,NA,NA,"March 8, 2021 → March 21, 2021",Experiment%201f19a/Simulator_Screen_Shot_-_iPhone_12_mini_-_2021-02-23_at_14.27.27.png,Complete 2021,"Seung Kim, Sarah Molhan","March 4, 2021 → March 7, 2021","Treatment: sees new tutorial copy

Control: sees old tutorial copy",13.1.600,c333ba62-84a9-4cfa-ac46-8de1c118bc0a
Android Appman on For All Users,Yes,https://analytics.amplitude.com/loseit/dashboard/2yo1m3i,NA,NA,Experiment%201f19a/android-appman-bayes.pdf,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,Under what circumstances would the experiment be ended early?,"oh man, no idea. But I promise it happened.","IAM, Premium",We went to 100% appman and got rid of Braze.,No detectable effect,No,Experiment%201f19a/android-appman.pdf,NA,"Paul Heayn, Katie Bourdon, Sarah Molhan",Android,"Minimum Percent Change Detectable,Size Per Cohort
1%,10188924
2%,2547232
3%,1132104
4%,636809
5%,407558
6%,283027
7%,207938
8%,159203
9%,125790
10%,101890",NA,NA,NA,"March 5, 2021 → March 26, 2021",NA,Complete 2021,Katie Bourdon,NA,"If things go sucessful, users should receive the same messages as the control group, but they would be native messages",13.1.200,fbd8389d-0a0a-492e-abeb-8f77d95cb885
Android Tutorial Copy Update,Yes,https://analytics.amplitude.com/loseit/dashboard/gs5ix9b,NA,"March 30, 2021",Experiment%201f19a/android-tutorial-copy-update-bayes.pdf,"AndNewTutCopy(7365.klqqfrgo)-NewTutCopy
AndNewTutCopy(7365.klqqfrgo)-_default",No,First food logged rate decreases by 20%; sale take rate decreases by 20%,3/31/21,New User,Reverting to control,The new tutorial will improve day 2 retention. Neutral or positive impact on bookings,No,Experiment%201f19a/android-tutorial-copy-update.pdf,"https://www.notion.so/Android-Onboarding-SG-v2-d31ff56572df4486aab295e2f8fcf070, https://www.notion.so/Android-In-app-trial-offer-ca3bf512123e4037b13be4c3e51fd3c7",Sarah Molhan,Android,"Smallest Detectable Change in Gross Bookings per Person	Number of Weeks for a Two Group Test

3%	7.49
5%	2.7
7%	1.38
10%	0.67",https://www.notion.so/Tutorial-Copy-Test-59263148b74140b79f432156fd8e9001,NA,NA,"March 1, 2021 → March 21, 2021",Experiment%201f19a/Screenshot_20210222-110027.png,Complete 2021,"Seung Kim, Dave Gedarovich, Sarah Molhan","February 25, 2021 → February 28, 2021","Treatment: sees new tutorial copy

Control: sees old tutorial copy",13.1.500,94d6a11d-ab9b-4ae0-a072-fbc574fa0e7b
iOS Existing User Appman Experiment - Final Run,No,https://analytics.amplitude.com/loseit/dashboard/jhbdmhc,NA,NA,Experiment%201f19a/ios_existing_user_appman_final_bayes_(1).pdf,"""iosAppManMinUserID"":{""experiments"":[{""name"":""iOSAMExist2"",""weight"":50,""value"":1}],""sticky"":true,""value"":40284506,""revision"":""7358.klgo124w""}",No,Under what circumstances would the experiment be ended early?,NA,"IAM, Premium","Appman is now on 100% for all iOS users as we have officially moved off of braze, we have an appman MVP here BPP between the two groups. There is some additional analysis work that has been added to the backlog to look into plan purchases between the two groups.",No detectable effect,NA,Experiment%201f19a/iOS_Existing_User_Appman_Experiment_Final_Run_20210324183833627_iOS_Existing_User_Appman_Experiment_Final_Run_(1).pdf,NA,"Paul Heayn, Katie Bourdon",iOS,NA,NA,NA,NA,"February 26, 2021 → March 20, 2021",NA,Complete 2021,"Katie Bourdon, Paige Martineau","February 23, 2021 → February 25, 2021","If things go sucessful, existing users should receive the same messages as the control group, but they would be native messages sent via Appman",13.1.500,4284e4c7-603f-4c9c-a297-98017049d53e
Android Onboarding SG v2,No,https://analytics.amplitude.com/loseit/dashboard/lvggz3h,NA,NA,NA,"AndSGOnb(7354.klbbesnc)-AndSGOnb
AndSGOnb(7354.klbbesnc)-_default",No,NA,NA,Onboarding,We're on full android surveygurl as of 13.1.700,"Similar outcomes to the v1 SG test on android: https://www.notion.so/Android-Personalized-Search-Survey-Gurl-6fdf07a6a1f841ddb2941db2364c7b26

Increase in login rate from the treatment.",NA,NA,NA,Sarah Molhan,Android,NA,https://www.notion.so/Test-Android-Onboarding-SG-v2-0bf0059da8fb46d29d9e594cf5b4a938,NA,NA,"February 25, 2021 → March 11, 2021",NA,Complete 2021,Dave Gedarovich,NA,"Treatment: All onboarding is powered by surveygurl. The order is landing page, details, create account, competitor onboarding & longboarding, trial

Control: all onboarding is powered by the old stuff. The order is competitor onboarding, details, create account, longboarding, trial",13.1.500 is 50%,f7ea4fac-5571-4445-996d-241d00052c7a
Add New Groups to Popular Posts Feed,No,https://analytics.amplitude.com/loseit/dashboard/xqp698l,NA,"March 22, 2021",NA,"N/A — second to last digit of user ID even TREATMENT, odd CONTROL",No,NA,NA,Social,"What is the immediate action being taken when you move the card to ""Complete""?","We don't expect to see movement of any metrics on the experiment report, but we will be looking at amplitude Social engagement metrics and are hoping for more engagement.",NA,NA,NA,Emma MacDonald,"Android, iOS",NA,NA,NA,NA,"February 19, 2021 → March 11, 2021",Experiment%201f19a/Untitled%201.png,Complete 2021,Dan Sheline,NA,"For users whose second to last digit is even, they will get posts from new groups naturally integrated into their popular posts feed. The groups highlighted here in yellow are the ones that were added: https://docs.google.com/spreadsheets/d/1fdegExt0sjmfawO5nlH1fvuFQJdwfu_iMu_0oNNp0YA/edit#gid=1076511031",n/a,5b5538a4-c83b-4eed-88b4-13fa66ebcb14
New User Email,Yes,https://analytics.amplitude.com/loseit/dashboard/9hyvdmm,NA,"March 3, 2021",NA,N/A,No,NA,NA,"New User, Simplification",Put the whole Braze canvas on treatment 1; Katie will move that to Iterable.,I expect there to be no difference between the groups.,Yes,Experiment%201f19a/new-user-email.pdf,NA,Sarah Molhan,Iterable,NA,https://www.notion.so/New-User-Email-Test-7d978192952f43d6aea420b7d6f3075c,NA,NA,"February 8, 2021 → February 22, 2021",NA,Complete 2021,"Erin Webster-Shaller, Paul Apollo, Phil Weltman, Robert Mohr, Seung Kim",NA,"Control: receive our standard flow of new user emails. 5 emails on day 1 (Welcome Aboard Badge, Email Confirmation, Canvas Welcome, Canvas Social, Plan-Specific Tips). 1 email each day for days 2-5 from New User Email Canvas 

Treatment 1: 3 emails on day 1 (Welcome Aboard Badge, Email Confirmation, Plan-Specific Tips). 1 email each day for days 2-5 from New User Email Canvas

Treatment 2: 3 emails on day 1 (Welcome Aboard Badge, Email Confirmation, Plan-Specific Tips).",n/a,3de7c2f8-8465-4adf-8bfa-fe46cfaf2833
Android In-app trial offer,No,https://analytics.amplitude.com/loseit/dashboard/86usf3a,NA,"March 5, 2021",Experiment%201f19a/android-in-app-trial-offer-bayes.pdf,"AndOnbTrialFree(7344.kkwrqny8)-OnbTrialFree
AndOnbTrialFree(7344.kkwrqny8)-_default",Yes,NA,NA,"IAM, New User, Trial","What is the immediate action being taken when you move the card to ""Complete""?",Potential increase in trials-taken resulting in more bookings,No,NA,NA,Phil Weltman,Android,NA,NA,NA,NA,"February 8, 2021 → February 21, 2021","Experiment%201f19a/50.png, Experiment%201f19a/free.png, Experiment%201f19a/new_text.png",Complete 2021,NA,"February 3, 2021 → February 7, 2021","The treatment group will see an in-app 7-day trial promotion rather than the current 50% sale promotion. The countdown timer will reflect the promotion that is shown. See below for screenshots. 

Simultaneously, we're testing the 3x sale promotion vs. the current water tracking promotion.",13.1.200,ea051af7-2621-40db-a6b2-d2c65f19dac1
iOS: Longest Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/bp5fjm1,NA,"February 18, 2021",Experiment%201f19a/ios_longest_onboarding.pdf,"iOSLongestOnb(7330.kkd2c3u0)-_default
iOSLongestOnb(7330.kkd2c3u0)-longest
iOSLongestOnb(7330.kkd2c3u0)-longestMascot",No,NA,13.1.400 — longest became Control,"New User, Onboarding, Trial",Longest onboarding is the new baseline for iOS onboarding.,"The treatments will out perform the control for trial take rate and onboarding throughput. When we have lengthened onboarding with these type of questions in the past, that's what we've seen.",Yes,Experiment%201f19a/iOS_Longest_Onboarding_20210218220913665_iOS_Longest_Onboarding.pdf,NA,Sarah Molhan,iOS,NA,https://www.notion.so/Longest-Onboarding-3f02a54a840444ea8264ce58594e2326,NA,NA,"January 29, 2021 → February 9, 2021",Experiment%201f19a/Outline.png,Complete 2021,"Rohil Javeri, Robert Mohr, Seung Kim","January 13, 2021 → January 20, 2021","Treatment 1: 25% ""Longest"". Onboarding will be entirely replaced by Longest Onboarding. 

Treatment 2: 25% ""LongestMascot"". Onboarding will be entirely replaced by Longest Onboarding with the BrockLee mascot used in the images.

control: 50%","Testing in 13.0.100 and go full in 13.1.000
13.1.101+",3ded1729-a151-4bf4-8483-8589eb35d401
Android New Tutorial (Not just breakfast),No,https://analytics.amplitude.com/loseit/dashboard/v1z3ed9,NA,"February 17, 2022",Experiment%201f19a/android-new-tutorial-not-just-breakfast.pdf,"AndNewTutV3(7682.kybt53j4)-NewTutV3
AndNewTutV3(7682.kybt53j4)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,New User,NA,Increase in first food logged and day 1 retention. Would be so nice to see an increase in day 2 retention as well.,NA,Experiment%201f19a/android-new-tutorial-not-just-breakfast-nhst.pdf,NA,Seung Kim,Android,"Smallest Detectable Change in Gross Bookings per Person // Number of Weeks for a Two Group Test
3% 7.49
5% 2.7
7% 1.38
10% 0.67",NA,NA,NA,"January 26, 2021 → February 9, 2021","Experiment%201f19a/Screenshot_20220105-144605.png, Experiment%201f19a/Screenshot_20220105-144609.png, Experiment%201f19a/Screenshot_20220105-144612.png, Experiment%201f19a/Screenshot_20220105-144626.png",Complete 2022,Dave Gedarovich,"January 3, 2022 → January 21, 2022","Treatment: Shortened tutorial, users can log breakfast, lunch, or dinner as first meal (screenshots below)
Control:https://www.notion.so/Android-Tutorial-Take-2-ec05ea57a6b14ab9b9af7869180ed851 (Long-standing default tutorial)",14.1.1,13c7fb69-1949-42e9-8d6d-a23b63969d16
Android: Calm Trial Test,Yes,https://analytics.amplitude.com/loseit/dashboard/yzwy2z2,NA,"February 16, 2021","Experiment%201f19a/android-calm-revisit-bayes.pdf, Experiment%201f19a/android_calm_trial.pdf","AndTrialList(7330.kkcqrpv4)-AndTrialList
AndTrialList(7330.kkcqrpv4)-_default",No,NA,2/23/2021,Trial,Reverting to Unkillable trial page,Trial take rate and bookings will increase substantially. Onboarding throughput and retention will decrease slightly,No,Experiment%201f19a/Android_Calm_Trial_NHST.pdf,NA,Sarah Molhan,Android,NA,https://www.notion.so/Android-Calm-Inspired-Trial-Page-3122f5783cc5490cbd34949e9aee0c4a,NA,NA,"January 25, 2021 → February 7, 2021",Experiment%201f19a/Screenshot_20210201-085625.png,Complete 2021,"Dave Gedarovich, Robert Mohr, Seung Kim","January 21, 2021 → January 24, 2021","Treatment: sees new Calm inspired trial page

Control: sees old unkillable trial page",13.1.100,ecee4bef-283b-4e62-82c0-d5ab4c961edb
iOS Recipe Recommender,No,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,NA,Experiment%201f19a/ios_recipe_recommender_Bayes.pdf,"""iOSRecommendedRecipes"":{""experiments"":[{""name"":""recRecipe"",""weight"":50,""value"":true}],""sticky"":true,""value"":false,""revision"":""7309.kjiyuaq8""}",No,Under what circumstances would the experiment be ended early?,This was off as of feb 18.,Engagement,"What is the immediate action being taken when you move the card to ""Complete""?",Users will see the recommended recipes and have higher engagement,NA,Experiment%201f19a/ios_recipe_recommender.pdf,NA,Paul Heayn,iOS,NA,NA,NA,NA,"January 5, 2021 → February 15, 2021",NA,Complete 2021,"Eric Woods, Patrick Rills, Erin Webster-Shaller, Nick Sal","December 17, 2020 → January 4, 2021",Users in the treatment will see a 'Recommended Recipes' option in the Meal Options menu of the log screen. Tapping on this will take a user to a survey girl filtering form where we ask the users a few questions about their dietary preference and then show them matching recipes from the Lose It blog,12.7.200,0c0fe38c-4932-4a25-8eb4-0a645b272d97
Granny Push Android,Yes,make a copy of this: https://analytics.amplitude.com/loseit/dashboard/kxvjyql,NA,"January 19, 2021",NA,iOSGrannyPush,Yes,NA,NA,"Engagement, New User, Reactivation",Will be turning granny push to 100% of users within the next few weeks,"Because our native system (Granny Push) is missing some campaign types that Braze has, it is possible that Granny Push performs slightly worse than Braze.  However, as long as results are within degrees of similarity to each other, we will be confident that we can move off of Braze and onto our native platform in order to save $$$.",Yes,Experiment%201f19a/android-granny-push.pdf,NA,Taylor Smyrnos,Android,NA,NA,NA,NA,"December 24, 2020 → January 9, 2021",NA,Complete 2021,"Dave Gedarovich, Whitney Klinkner, Katie Bourdon, Paul Apollo","December 10, 2020 → December 16, 2020","Users should for the most part not notice any difference between treatment and control. Granny push was designed to replace push notifications from Braze as seamlessly as possible. 

Differences that do exist: 
* Push notifications delivery times may differ slightly
* Treatment group will not receive any push about weighing in and/or streaks, these have been replaced by general engagement (i.e. ""come track your food"" campaigns)
* Granny Push is done by device rather than by userid like Braze — if a user is using two different push-enabled device, they may receive push notifications on both devices or may receive them on one device even if they have logged on another. 
* We updated copy for both treatment + control group with Jo’s previous circuit item. This is not a difference between treatment/control, but will be a difference based on what we have run in the past. You can find the updated copy at the bottom of the page https://www.notion.so/e98a4262b954457a87343db65fc8d2f4.",12.6.8,a8c4fe14-6bfc-4614-9ca4-109872f8dc07
"iOS New User Tasks, v2",Yes,https://analytics.amplitude.com/loseit/dashboard/o037mpb,NA,"January 15, 2021",Experiment%201f19a/ios-new-users-tasks-v2.pdf,"""iOSMinTasksIDV2"":{""experiments"":[{""name"":""iOSIntroTask2"",""weight"":50,""value"":40336546}],""value"":-1,""revision"":""7290.kirmfrow""}",No,NA,NA,New User,"Turning this experiment and Android equivalent off since there were no major wins and returning experience to simpler flow will make it easier to work on in the future. Tasks will show log b/l/d, mark day complete, an article and weigh in",New users in the treatment group will show higher levels of engagement and retention.,No,Experiment%201f19a/iOS_New_User_Tasks_v2_20210119175332529_iOS_New_User_Tasks_v2.pdf,NA,Taylor Smyrnos,iOS,NA,NA,NA,NA,"December 17, 2020 → January 6, 2021",NA,Complete 2021,"Brian Bouchard, Nick Sal","December 14, 2020 → December 16, 2020","New users in the treatment group will be shown additional tasks that introduce them to features of Lose It!, offer health & wellness advice, as well ask them about their personal weight loss journey. See the list of tasks here: https://www.notion.so/b3a98e08ab6c41fc94d35ecee9f5d882",12.6.8,45196c01-422b-4063-807f-612e37ed76b8
